U.C[V]	I.C[A/cm2]
0.19904821020408162	3.2582026020408166
0.2489524346938776	3.184691445578231
0.29881999591836744	3.079562465986394
0.3487925040816327	2.9616598639455765
0.3987227897959182	2.8216089795918364
0.4487781102040817	2.642758826530612
0.4984856142857142	2.4277027040816326
0.5482162469387754	2.1403199659863943
0.5982750040816326	1.774274727891156
0.6482753489795916	1.3133565306122446
0.697940693877551	0.8102604982993198
0.7480089857142861	0.4372486224489796
0.7779524367346936	0.27953433333333333
0.7977985204081633	0.20150700680272107
0.8178634938775512	0.14168416836734687
0.8377186	0.09707518537414964
0.8576024285714287	0.061567511564625865
0.877784402040816	0.03550281972789114
0.8976305680000002	0.018125938999999997
0.9175069400000001	0.008202992966666664
0.937736572	0.002876652166666667
0.9694608559999999	0.0
