U.C[V]	I.C[A/cm2]
0.19907149183673467	3.2002911394557825
0.24878392448979592	3.136014608843537
0.29858483469387753	3.0206742857142856
0.34877878163265313	2.894379982993197
0.3984413775510204	2.748397363945577
0.4485923122448979	2.5709292687074816
0.49820184897959185	2.3534488435374152
0.5477713448979592	2.0966339285714284
0.5980608714285713	1.753577380952381
0.6478361326530613	1.322287244897959
0.6975936897959183	0.8512753741496597
0.747632475510204	0.47490688435374145
0.777557308163265	0.2980820034013605
0.797395112244898	0.207567231292517
0.8174423857142858	0.1388404353741496
0.8372921816326533	0.08987057142857148
0.8571649510204081	0.05422434948979589
0.8773647795918366	0.03072750901360545
0.8972394799999998	0.015538385666666663
0.9171474159999999	0.0070388633
0.9374902041666666	0.0027237329861111107
0.9743201280000002	0.0
