U.C[V]	I.C[A/cm2]
0.19910594897959183	3.742383928571427
0.24883489999999994	3.659190816326531
0.29866747346938777	3.563619115646259
0.34867875918367347	3.444749982993197
0.3985132326530613	3.287562840136053
0.4486127122448981	3.0891497619047623
0.49801445510204106	2.839804421768707
0.5479950877551022	2.512754081632653
0.5977882448979589	2.081119370748299
0.6481838183673471	1.5516379591836733
0.6975670142857142	1.01561906462585
0.7475921755102042	0.5784787414965986
0.7775187285714286	0.3623093996598639
0.7973550816326528	0.24567065646258496
0.8173974979591837	0.15546127721088435
0.8372203510204083	0.09320850680272108
0.857078751020408	0.05049816462585033
0.8772490387755103	0.025611001360544217
0.8970622166666667	0.01152172465277778
0.9168956199999999	0.004614062766666667
0.937071775	0.001253085069444444
0.9643045160000001	0.0
