U.C[V]	I.C[A/cm2]
0.19899086122448978	3.669565629251699
0.24882350612244897	3.6043743537414956
0.2986645367346939	3.5110399489795925
0.34862625102040823	3.4049520238095234
0.3985162551020408	3.248596020408163
0.4485851612244899	3.039977636054422
0.4981578122448979	2.7776385884353747
0.5479552387755104	2.4247370578231293
0.597936920408163	1.9750126020408159
0.648000069387755	1.4601330442176874
0.6975958673469387	0.9560160204081632
0.7476228755102039	0.5372476853741497
0.7775597061224487	0.33396879761904763
0.7973918265306121	0.22286195918367352
0.8174510959183677	0.13700394727891158
0.8372856795918365	0.07981352329931973
0.8571545591836733	0.04322040918367346
0.877332324489796	0.021841395068027212
0.8971711840000001	0.01006851666666667
0.9170353360000001	0.0043278366
0.9372486679999998	0.001532864366666667
0.978725668	0.0
