U.C[V]	I.C[A/cm2]
0.1991150591836735	3.6947004421768703
0.24883733469387753	3.6247387074829924
0.2986664755102041	3.536243588435375
0.34870403877551015	3.417925578231291
0.39851301224489794	3.2758157653061213
0.4485434510204082	3.074320272108844
0.49822502857142836	2.825807551020408
0.5479429571428571	2.4859587244897954
0.5979648408163265	2.0393375680272103
0.6480216693877553	1.5140989115646255
0.6975979142857146	0.9872196768707484
0.7476276632653063	0.5574011360544218
0.7775539408163268	0.3521697363945578
0.7974010551020412	0.2388488452380952
0.8174492367346938	0.1507787193877551
0.8372825163265305	0.09006772108843533
0.8571515428571426	0.049918849319727884
0.8773321612244901	0.025558997619047612
0.8971753916666666	0.012012717708333336
0.917040616	0.005179388266666666
0.9372613999999997	0.0017991195000000002
0.970277524	0.0
