U.C[V]	I.C[A/cm2]
0.19903856530612246	3.1163047448979597
0.2487700571428571	3.0357179251700677
0.29857059999999996	2.944100034013605
0.34870092244897977	2.8174147959183675
0.3984710367346939	2.6688942517006815
0.44843120204081655	2.472786819727892
0.498212063265306	2.2245694727891157
0.5477330816326532	1.929119846938776
0.598075244897959	1.5700039965986399
0.6478216510204081	1.170037414965986
0.6975844224489796	0.764317287414966
0.7476150489795919	0.4186081445578232
0.7775443693877553	0.25163978061224485
0.7973835816326532	0.168363481292517
0.817443379591837	0.10574376870748298
0.8372831612244899	0.06419155238095237
0.8571620061224489	0.03635644438775509
0.8773740265306122	0.019028068707482988
0.897260972	0.008961566333333332
0.9172194080000002	0.0040941489
0.937369696	0.001588137666666667
0.9920186666666667	0.0
