U.C[V]	I.C[A/cm2]
0.199135712244898	2.5701093367346943
0.2488685693877551	2.5138354251700674
0.29866024285714277	2.4361608333333336
0.3489009734693877	2.3529420068027207
0.3985117346938777	2.2538926190476194
0.4487902285714285	2.1461743367346937
0.498266318367347	1.9971055102040816
0.5482258285714285	1.826567023809523
0.5981596448979591	1.6660328911564628
0.6484679306122451	1.416656020408163
0.6979641367346938	1.0367986224489794
0.7480203244897958	0.6351476462585035
0.777979881632653	0.4021623095238096
0.7978151346938778	0.2735096173469388
0.8178785102040815	0.17422896428571436
0.8377148857142857	0.10479391496598639
0.8575834979591836	0.05806955170068027
0.8777705285714286	0.029981526870748294
0.8975884519999999	0.014226087666666665
0.9174449200000001	0.006232474799999999
0.937654596	0.0023942775333333334
1.0194614800000001	0.0
