Time (s);WE(1).Current (A);Corrected time (s);Index;Current range
11.467257971048;0.00447265625;0;1;1 mA
11.9672579697856;0.0034100341796875;0.499999998737621;2;1 mA
12.4672579685232;0.0029638671875;0.999999997475243;3;1 mA
12.9672579672608;0.00271148681640625;1.49999999621286;4;1 mA
13.4672579659984;0.00253753662109375;1.99999999495049;5;1 mA
13.9672579647361;0.00240631103515625;2.49999999368811;6;1 mA
14.4672579634737;0.00230010986328125;2.99999999242573;7;1 mA
14.9672579622113;0.00221038818359375;3.49999999116335;8;1 mA
15.4672579609489;0.00213287353515625;3.99999998990097;9;1 mA
15.9672579596865;0.00206390380859375;4.49999998863859;10;1 mA
16.4672579584242;0.00200164794921875;4.99999998737621;11;1 mA
16.9672579571618;0.0019451904296875;5.49999998611383;12;1 mA
17.4672579558994;0.00189483642578125;5.99999998485146;13;1 mA
17.967257954637;0.00184844970703125;6.49999998358908;14;1 mA
18.4672579533747;0.0018060302734375;6.9999999823267;15;1 mA
18.9672579521123;0.00176544189453125;7.49999998106432;16;1 mA
19.4672579508499;0.0017279052734375;7.99999997980194;17;1 mA
19.9672579495875;0.001693115234375;8.49999997853956;18;1 mA
20.4672579483251;0.00166046142578125;8.99999997727718;19;1 mA
20.9672579470628;0.0016302490234375;9.49999997601481;20;1 mA
21.4672579458004;0.0016015625;9.99999997475243;21;1 mA
21.967257944538;0.0015740966796875;10.49999997349;22;1 mA
22.4672579432756;0.00154754638671875;10.9999999722277;23;1 mA
22.9672579420132;0.00152252197265625;11.4999999709653;24;1 mA
23.4672579407509;0.0014996337890625;11.9999999697029;25;1 mA
23.9672579394885;0.00147735595703125;12.4999999684405;26;1 mA
24.4672579382261;0.001456298828125;12.9999999671782;27;1 mA
24.9672579369637;0.0014349365234375;13.4999999659158;28;1 mA
25.4672579357014;0.001414794921875;13.9999999646534;29;1 mA
25.967257934439;0.00139678955078125;14.499999963391;30;1 mA
26.4672579331766;0.0013787841796875;14.9999999621286;31;1 mA
26.9672579319142;0.001361083984375;15.4999999608663;32;1 mA
27.4672579306518;0.001343994140625;15.9999999596039;33;1 mA
27.9672579293895;0.00132781982421875;16.4999999583415;34;1 mA
28.4672579281271;0.001312255859375;16.9999999570791;35;1 mA
28.9672579268647;0.001297607421875;17.4999999558167;36;1 mA
29.4672579256023;0.001282958984375;17.9999999545544;37;1 mA
29.9672579243399;0.001268310546875;18.499999953292;38;1 mA
30.4672579230776;0.0012542724609375;18.9999999520296;39;1 mA
30.9672579218152;0.00124114990234375;19.4999999507672;40;1 mA
31.4672579205528;0.0012286376953125;19.9999999495049;41;1 mA
31.9672579192904;0.00121612548828125;20.4999999482425;42;1 mA
32.4672579180281;0.00120391845703125;20.9999999469801;43;1 mA
32.9672579167657;0.0011920166015625;21.4999999457177;44;1 mA
33.4672579155033;0.001180419921875;21.9999999444553;45;1 mA
33.9672579142409;0.00116943359375;22.499999943193;46;1 mA
34.4672579129785;0.001158447265625;22.9999999419306;47;1 mA
34.9672579117162;0.0011480712890625;23.4999999406682;48;1 mA
35.4672579104538;0.0011376953125;23.9999999394058;49;1 mA
35.9672579091914;0.00112762451171875;24.4999999381434;50;1 mA
36.467257907929;0.00111724853515625;24.9999999368811;51;1 mA
36.9672579066666;0.0011083984375;25.4999999356187;52;1 mA
37.4672579054043;0.00109893798828125;25.9999999343563;53;1 mA
37.9672579041419;0.00108978271484375;26.4999999330939;54;1 mA
38.4672579028795;0.0010809326171875;26.9999999318316;55;1 mA
38.9672579016171;0.0010723876953125;27.4999999305692;56;1 mA
39.4672579003548;0.0010638427734375;27.9999999293068;57;1 mA
39.9672578990924;0.00105560302734375;28.4999999280444;58;1 mA
40.46725789783;0.00104766845703125;28.999999926782;59;1 mA
40.9672578965676;0.00103973388671875;29.4999999255197;60;1 mA
